step,value_kw
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0000
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0000
32,0.0378
33,0.1520
34,0.2603
35,0.3627
36,0.4592
37,0.5498
38,0.6344
39,0.7132
40,0.7861
41,0.8531
42,0.9141
43,0.9693
44,1.0185
45,1.0619
46,1.0993
47,1.1308
48,1.1565
49,1.1762
50,1.1900
51,1.1979
52,1.1999
53,1.1960
54,1.1862
55,1.1705
56,1.1489
57,1.1214
58,1.0880
59,1.0486
60,1.0034
61,0.9523
62,0.8952
63,0.8323
64,0.7634
65,0.6887
66,0.6080
67,0.5214
68,0.4289
69,0.3306
70,0.2263
71,0.1161
72,0.0000
73,0.0000
74,0.0000
75,0.0000
76,0.0000
77,0.0000
78,0.0000
79,0.0000
80,0.0000
81,0.0000
82,0.0000
83,0.0000
84,0.0000
85,0.0000
86,0.0000
87,0.0000
88,0.0000
89,0.0000
90,0.0000
91,0.0000
92,0.0000
93,0.0000
94,0.0000
95,0.0000
